OBJECTID,NAME,ADDRESS,GRADES,DIRECTOR,PHONE,AUTHORIZER,AUTHORIZAT,ENROLLMENT,GIS_ID,WEB_URL,ADDRID,X,Y,MYSCHOOL,SCHOOL_YEA,LEA_NAME,LEA_ID,SCHOOL_NAM,SCHOOL_ID,SCHOOLCODE,GRADES_1,LATITUDE,LONGITUDE,FACILITY_ID,CLUSTER_,WARD,ZIPCODE
93,Two Rivers PCS at 4th Street,1234 4TH STREET NE,6th-8th,Jessica Wodatch,202-543-8477,,0,0,chrt_153,https://www.tworiverspcs.org/,70272,399918.43,137618.01,Y,2018-2019,Two Rivers PCS - 4th Street [Middle],149,Two Rivers PCS - 4th Street [Middle],198,198,6th-8th,38.90642066,-77.00094044,PCSB_104BLD,Cluster 25,Ward 6,20002
94,Two Rivers PCS at Young,820 26TH STREET NE,PK3-4th,Jessica Wodatch,202-388-1360,,0,0,chrt_131,https://www.tworiverspcs.org/,294499,402496.78,137030.93,Y,2018-2019,Two Rivers PCS - Young,149,Two Rivers PCS - Young,270,270,PK3-4th,38.90112849,-76.97121618,DGS_0783.0,Cluster 23,Ward 5,20002
95,Washington Global Public Charter School,525 SCHOOL STREET SW,6th-8th,,202-796-2415,,0,0,chrt_127,http://washingtonglobal.org/,11149,398304.38,135142.48,Y,2018-2019,Washington Global PCS,185,Washington Global PCS,263,263,6th-8th,38.88411855,-77.01954308,PCSB_109BLD,Cluster 9,Ward 6,20024
96,Washington Latin PCS - Middle School,5200 2ND STREET NW,5th-8th,Martha Cutts,202-223-1111,,0,0,chrt_81,http://latinpcs.org/,294608,398802.19,142887.49,Y,2018-2019,Washington Latin PCS - Middle School,151,Washington Latin PCS - Middle School,125,125,5th-8th,38.95388895,-77.01381902,DGS_0143.1,Cluster 18,Ward 4,20011
97,Washington Latin PCS - Upper School,5200 2ND STREET NW,9th-12th,Martha Cutts,202-541-1591,,0,0,chrt_82,http://latinpcs.org/,294608,398802.19,142887.49,Y,2018-2019,Washington Latin PCS - Upper School,151,Washington Latin PCS - Upper School,1118,1118,9th-12th,38.95388895,-77.01381902,DGS_0143.1,Cluster 18,Ward 4,20011
98,Washington Leadership Academy PCS,3015 4TH STREET NE,9th-11th,,240-580-3371,,0,0,chrt_136,http://www.washingtonleadershipacademy.org/,289740,400115.34,139998.5,Y,2018-2019,Washington Leadership Academy PCS,192,Washington Leadership Academy PCS,283,283,9th-11th,38.9278649,-76.99866982,PCSB_128BLD,Cluster 21,Ward 5,20017
99,Washington Yu Ying PCS,220 TAYLOR STREET NE,PK3-5th,Maquita Alexander,202-635-1950,,0,0,chrt_84,https://www.washingtonyuying.org/,50738,399680.78,141482.69,Y,2018-2019,Washington Yu Ying PCS,160,Washington Yu Ying PCS,1117,1117,PK3-5th,38.94123488,-77.00368216,PCSB_95BLD,Cluster 19,Ward 5,20017
100,Youthbuild PCS,3220 16TH STREET NW,Adult,,202-319-0141,,0,0,chrt_139,https://www.youthbuildpcs.org/,301528,396808.36,140381.96,N,2018-2019,YouthBuild PCS [16th Street],131,YouthBuild PCS [16th Street],128,128,Adult,38.93131343,-77.03681,PCSB_124BLD,Cluster 2,Ward 1,20010
101,Friendship PCS - Chamberlain Elementary,1345 POTOMAC AVENUE SE,PK3-3rd,Kimberly Campbell,202-547-5800,,0,0,chrt_26,https://www.friendshipschools.org/schools/chamberlain/,66334,401145.15,134616.92,Y,2018-2019,Friendship PCS - Chamberlain Elementary,120,Friendship PCS - Chamberlain Elementary,363,363,PK3-3rd,38.87938499,-76.9868023,PCSB_48BLD,Cluster 26,Ward 6,20003
102,Friendship PCS - Chamberlain Middle,1345 POTOMAC AVENUE SE,4th-8th,Kimberly Campbell,202-547-5800,,0,0,chrt_128,https://www.friendshipschools.org/schools/chamberlain/,66334,401145.15,134616.92,Y,2018-2019,Friendship PCS - Chamberlain Middle,120,Friendship PCS - Chamberlain Middle,364,364,4th-8th,38.87938499,-76.9868023,PCSB_48BLD,Cluster 26,Ward 6,20003
103,Friendship PCS - Collegiate Academy,4095 MINNESOTA AVENUE NE,9th-12th,Kimberly Campbell,202-396-5500,,0,0,chrt_27,https://www.friendshipschools.org/schools/collegiate/,288100,404654.26,136634.64,Y,2018-2019,Friendship PCS - Collegiate Academy,120,Friendship PCS - Collegiate Academy,186,186,9th-12th,38.8975498,-76.94634663,DGS_0781.0,Cluster 30,Ward 7,20019
104,Friendship PCS - Online,1351 NICHOLSON STREET NW,KG-8th,Tracy Slone,202-729-8287,,0,0,chrt_32,https://www.friendshipschools.org/schools/online/,257768,397261.57,143623.99,Y,2018-2019,Friendship PCS - Online Academy,120,Friendship PCS - Online Academy,268,268,KG-8th,38.96052008,-77.03159596,DGS_0804.0,Cluster 18,Ward 4,20011
105,Friendship PCS - Southeast Elementary Academy,645 MILWAUKEE PLACE SE,PK3-3rd,Kimberly Campbell,202-562-1980,,0,0,chrt_46,https://www.friendshipschools.org/schools/southeast/,1655,400259.75,131109.73,Y,2018-2019,Friendship PCS - Southeast Elementary,120,Friendship PCS - Southeast Elementary,113,113,PK3-3rd,38.84779147,-76.99700774,PCSB_50BLD,Cluster 39,Ward 8,20032
106,Friendship PCS - Southeast Middle Academy,645 MILWAUKEE PLACE SE,4th-6th,Kimberly Campbell,202-562-1980,,0,0,chrt_45,https://www.friendshipschools.org/schools/southeast-middle/,1655,400259.75,131109.73,Y,2018-2019,Friendship PCS - Southeast Middle,120,Friendship PCS - Southeast Middle,1057,1057,4th-6th,38.84779147,-76.99700774,PCSB_50BLD,Cluster 39,Ward 8,20032
107,Friendship PCS - Technology Preparatory High School Academy,2705 MARTIN LUTHER KING JR AVENUE SE,9th-12th,Kimberly Campbell,202-562-1681,,0,0,chrt_134,https://www.friendshipschools.org/schools/tech-prep-high/,289904,400331.09,131166.09,Y,2018-2019,Friendship PCS - Technology Preparatory High ,120,Friendship PCS - Technology Preparatory High ,1164,1164,9th-12th,38.84829917,-76.99618589,PCSB_51BLD,Cluster 39,Ward 8,20032
108,Friendship PCS - Technology Preparatory Middle Academy,2705 MARTIN LUTHER KING JR AVENUE SE,7th-8th,Kimberly Campbell,202-562-1681,,0,0,chrt_47,https://www.friendshipschools.org/schools/#middle,289904,400331.09,131166.09,Y,2018-2019,Friendship PCS - Technology Preparatory Middle,120,Friendship PCS - Technology Preparatory Middle,1124,1124,7th-8th,38.84829917,-76.99618589,PCSB_51BLD,Cluster 39,Ward 8,20032
109,Friendship PCS - Woodridge Elementary,2959 CARLTON AVENUE NE,PK3-3rd,Kimberly Campbell,202-635-6500,,0,0,chrt_48,https://www.friendshipschools.org/schools/woodridge/,42808,402898.67,140190.45,Y,2018-2019,Friendship PCS - Woodridge International Elementary,120,Friendship PCS - Woodridge International Elementary,365,365,PK3-3rd,38.92958893,-76.96656971,DGS_0900.0,Cluster 24,Ward 5,20018
110,Friendship PCS - Woodridge Middle,2959 CARLTON AVENUE NE,4th-8th,Kimberly Campbell,202-635-6500,,0,0,chrt_129,https://www.friendshipschools.org/schools/woodridge/,42808,402898.67,140190.45,Y,2018-2019,Friendship PCS - Woodridge International Middle,120,Friendship PCS - Woodridge International Middle,366,366,4th-8th,38.92958893,-76.96656971,DGS_0900.0,Cluster 24,Ward 5,20018
111,Goodwill Excel Center PCS,1776 G STREET NW,9th-12th,,202-839-3650,,0,0,chrt_147,http://www.dcgoodwill.org/excel-center/,218480,396428.16,136695.02,N,2018-2019,Goodwill Excel Center PCS,190,Goodwill Excel Center PCS,297,297,9th-12th,38.89809879,-77.04117576,PCSB_126BLD,Cluster 5,Ward 2,20006
112,Harmony DC PCS - School of Excellence,62 T STREET NE,KG-5th,,202-529-7500,,0,0,chrt_43,https://harmonydc.org/,299982,399421.3,138682.56,Y,2018-2019,Harmony DC PCS - School of Excellence,180,Harmony DC PCS - School of Excellence,245,245,KG-5th,38.9160103,-77.00667286,PCSB_107BLD,Cluster 21,Ward 5,20002
113,Hope Community PCS - Lamond,6200 KANSAS AVENUE NE,PK3-5th,Michael DePass,202-722-4421,,0,0,chrt_49,https://imaginehopelamond.org/,304055,399254.07,144200.69,Y,2018-2019,Hope Community PCS - Lamond,121,Hope Community PCS - Lamond,131,131,PK3-5th,38.96571909,-77.00860715,PCSB_53BLD,Cluster 19,Ward 4,20011
114,Hope Community PCS - Tolson,2917 8TH STREET NE,PK3-8th,Michael DePass,202-832-7370,,0,0,chrt_50,https://imaginehopetolson.org/,43392,400466.83,139897.04,Y,2018-2019,Hope Community PCS - Tolson,121,Hope Community PCS - Tolson,114,114,PK3-8th,38.9269508,-76.99461626,PCSB_54BLD,Cluster 21,Ward 5,20017
115,Howard University Middle School of Mathematics and Science PCS,405 HOWARD PLACE NW,6th-8th,Yohance C. Maqubela,202-806-7725,,0,0,chrt_51,https://hu-ms2.org/,291490,398341.18,139441.04,Y,2018-2019,Howard University Middle School of Mathematics and Science PCS,124,Howard University Middle School of Mathematics and Science PCS,115,115,6th-8th,38.92284156,-77.01912932,PCSB_59BLD,Cluster 3,Ward 1,20059
116,IDEA PCS,1027 45TH STREET NE,9th-12th,John Goldman,202-399-4750,,0,0,chrt_52,https://www.ideapcs.org/,75296,405455.53,137412.11,Y,2018-2019,IDEA PCS,126,IDEA PCS,163,163,9th-12th,38.90454891,-76.93710358,DGS_0799.0,Cluster 31,Ward 7,20019
117,Friendship PCS - Ideal Middle,6130 NORTH CAPITOL STREET NW,4th-8th,"George H. Rutherford II, Ph.D.",202- 729-6660,,0,0,chrt_121,http://www.iapcs.com/,285311,399139.13,144111.98,Y,2018-2019,Friendship PCS - Ideal Middle,127,Friendship PCS - Ideal Middle,134,134,4th-8th,38.96491986,-77.00993332,PCSB_60BLD,Cluster 19,Ward 4,20011
118,Ingenuity Prep PCS,4600 LIVINGSTON ROAD SE,PK3-5th,,202-562-0391,,0,0,chrt_1,http://www.ingenuityprep.org/,294600,399731.95,128458.05,Y,2018-2019,Ingenuity Prep PCS,173,Ingenuity Prep PCS,200,200,PK3-5th,38.82390393,-77.00308684,DGS_0628.0,Cluster 39,Ward 8,20032
119,Inspired Teaching Demonstration PCS,200 DOUGLAS STREET NE,PK3-8th,Deborah Dantzler Williams,202-248-6825,,0,0,chrt_2,https://www.inspiredteachingschool.org/,53086,399760.28,139534.59,Y,2018-2019,Inspired Teaching Demonstration PCS,165,Inspired Teaching Demonstration PCS,3064,3064,PK3-8th,38.92368582,-77.00276446,DGS_0768.0,Cluster 21,Ward 5,20002
120,Kingsman Academy PCS,1375 E STREET NE,6th-12th,Shannon Hodge,202-547-1028,,0,0,chrt_137,https://www.kingsmanacademy.org/,286107,401195.97,136444.7,Y,2018-2019,Kingsman Academy PCS,186,Kingsman Academy PCS,267,267,6th-12th,38.89585026,-76.98621343,DGS_0801.0,Cluster 25,Ward 6,20002
121,KIPP DC - AIM Academy PCS,2600 DOUGLASS ROAD SE,5th-8th,Susan Schaeffler,202-678-5477,,0,0,chrt_53,https://www.kippdc.org/schools/middle-schools/kipp-dc-aim-academy/,311456,401037.32,132090.08,Y,2018-2019,KIPP DC - AIM Academy PCS,129,KIPP DC - AIM Academy PCS,116,116,5th-8th,38.85662232,-76.98804884,DGS_0431.0,Cluster 37,Ward 8,20020
122,KIPP DC - Arts and Technology Academy PCS,5300 BLAINE STREET NE,PK3-KG,Allison Artis,202-395-6811,,0,0,chrt_105,https://www.kippdc.org/schools/early-childhood-schools/kipp-dc-arts-technology-academy/,304054,406537.33,136014.15,Y,2018-2019,KIPP DC - Arts and Technology Academy PCS,129,KIPP DC - Arts and Technology Academy PCS,236,236,PK3-KG,38.89194821,-76.9246449,DGS_0791.0,Cluster 31,Ward 7,20019
123,KIPP DC - College Preparatory PCS,1405 BRENTWOOD PARKWAY NE,9th-12th,Susan Schaeffler,202-678-2527,,0,0,chrt_54,https://www.kippdc.org/schools/high-school/kipp-dc-college-preparatory/,311606,400556.62,137970.76,Y,2018-2019,KIPP DC - College Preparatory Academy PCS,129,KIPP DC - College Preparatory Academy PCS,1123,1123,9th-12th,38.909598,-76.993582,DGS_0299.0,Cluster 23,Ward 5,20002
124,KIPP DC - Connect Academy PCS,1375 MOUNT OLIVET ROAD NE,PK3-KG,,202-396-5477,,0,0,chrt_63,https://www.kipp.org/school/kipp-dc-connect-academy/,286108,401636.15,137801.71,Y,2018-2019,KIPP DC - Connect Academy PCS,129,KIPP DC - Connect Academy PCS,209,209,PK3-KG,38.90807397,-76.98113601,DGS_0291.0,Cluster 23,Ward 5,20002
125,KIPP DC - Discover Academy PCS,2600 DOUGLASS ROAD SE,PK3-KG,Susan Schaeffler,202-678-7735,,0,0,chrt_55,https://www.kipp.org/school/kipp-dc-discover-academy/,311456,401037.32,132090.08,Y,2018-2019,KIPP DC - Discover Academy PCS,129,KIPP DC - Discover Academy PCS,1122,1122,PK3-KG,38.85662232,-76.98804884,DGS_0431.0,Cluster 37,Ward 8,20020
126,KIPP DC - Grow Academy PCS,421 P STREET NW,PK3-KG,Susan Schaeffler,202-986-4769,,0,0,chrt_56,https://www.kippdc.org/schools/early-childhood-schools/kipp-dc-grow-academy/,294487,398428.65,138002.89,Y,2018-2019,KIPP DC - Grow Academy PCS,129,KIPP DC - Grow Academy PCS,1129,1129,PK3-KG,38.90988639,-77.01811734,DGS_0778.0,Cluster 7,Ward 6,20001
127,Mundo Verde Bilingual PCS - 8th Street NE,4401 8TH STREET NE,PK3–1,,,,0,0,,,22543,400474.03,141675.39,Y,2019-2020,Mundo Verde Bilingual PCS - 8th Street NE,,Mundo Verde Bilingual PCS - 8th Street NE,0,,PK3–1,38.942971,-76.994532,,,Ward 5,20017
128,KIPP DC - Heights Academy PCS,2600 DOUGLASS ROAD SE,1st-4th,Susan Schaeffler,202-610-5323,,0,0,chrt_57,https://www.kippdc.org/schools/elementary-schools/kipp-dc-heights-academy/,311456,401037.32,132090.08,Y,2018-2019,KIPP DC - Heights Academy PCS,129,KIPP DC - Heights Academy PCS,3071,3071,1st-4th,38.85662232,-76.98804884,DGS_0431.0,Cluster 37,Ward 8,20020
129,KIPP DC - KEY Academy PCS,4801 BENNING ROAD SE,5th-8th,Susan Schaeffler,202-582-5477,,0,0,chrt_58,https://www.kipp.org/school/kipp-dc-key-academy/,17421,405692.28,134978.83,Y,2018-2019,KIPP DC - KEY Academy PCS,129,KIPP DC - KEY Academy PCS,189,189,5th-8th,38.88262754,-76.93439427,PCSB_68BLD,Cluster 33,Ward 7,20019
130,KIPP DC - Lead Academy PCS,421 P STREET NW,1st-4th,Susan Schaeffler,202-469-3300,,0,0,chrt_59,https://www.kipp.org/school/kipp-dc-lead-academy/,294487,398428.65,138002.89,Y,2018-2019,KIPP DC - Lead Academy PCS,129,KIPP DC - Lead Academy PCS,190,190,1st-4th,38.90988639,-77.01811734,DGS_0778.0,Cluster 7,Ward 6,20001
131,KIPP DC - LEAP Academy PCS,4801 BENNING ROAD SE,PK3-PK4,Susan Schaeffler,202-582-5327,,0,0,chrt_60,https://www.kipp.org/school/kipp-dc-leap-academy/,17421,405692.28,134978.83,Y,2018-2019,KIPP DC - LEAP Academy PCS,129,KIPP DC - LEAP Academy PCS,132,132,PK3-PK4,38.88262754,-76.93439427,PCSB_68BLD,Cluster 33,Ward 7,20019
132,KIPP DC - Northeast Academy PCS,1375 MOUNT OLIVET ROAD NE,5th-8th,John Barnhardt,202-398-5477,,0,0,chrt_122,https://www.kipp.org/school/kipp-dc-northeast-academy/,286108,401636.15,137801.71,Y,2018-2019,KIPP DC - Northeast Academy PCS,129,KIPP DC - Northeast Academy PCS,242,242,5th-8th,38.90807397,-76.98113601,DGS_0291.0,Cluster 23,Ward 5,20002
133,KIPP DC - Promise Academy PCS,4801 BENNING ROAD SE,KG-4th,Susan Schaeffler,202-582-1390,,0,0,chrt_61,https://www.kipp.org/school/kipp-dc-promise-academy/,17421,405692.28,134978.83,Y,2018-2019,KIPP DC - Promise Academy PCS,129,KIPP DC - Promise Academy PCS,1121,1121,KG-4th,38.88262754,-76.93439427,PCSB_68BLD,Cluster 33,Ward 7,20019
134,KIPP DC - Quest Academy PCS,5300 BLAINE STREET NE,1st-4th,Cherese Brauer,202-398-6811,,0,0,chrt_123,https://www.kipp.org/school/kipp-dc-quest-academy/,304054,406537.33,136014.15,Y,2018-2019,KIPP DC - Quest Academy PCS,129,KIPP DC - Quest Academy PCS,237,237,1st-4th,38.89194821,-76.9246449,DGS_0791.0,Cluster 31,Ward 7,20019
135,KIPP DC - Spring Academy PCS,1375 MOUNT OLIVET ROAD NE,1st-4th,,202-397-5477,,0,0,chrt_64,https://www.kipp.org/school/kipp-dc-spring-academy/,286108,401636.15,137801.71,Y,2018-2019,KIPP DC - Spring Academy PCS,129,KIPP DC - Spring Academy PCS,214,214,1st-4th,38.90807397,-76.98113601,DGS_0291.0,Cluster 23,Ward 5,20002
136,KIPP DC - Valor Academy PCS,5300 BLAINE STREET NE,5th-8th,Susan Schaeffler,202-398-6811,,0,0,chrt_130,https://www.kipp.org/school/kipp-dc-valor-academy/,304054,406537.33,136014.15,Y,2018-2019,KIPP DC - Valor Academy PCS,129,KIPP DC - Valor Academy PCS,243,243,5th-8th,38.89194821,-76.9246449,DGS_0791.0,Cluster 31,Ward 7,20019
137,KIPP DC - WILL Academy PCS,421 P STREET NW,5th-8th,Susan Schaeffler,202-328-9455,,0,0,chrt_62,https://www.kipp.org/school/kipp-dc-will-academy/,294487,398428.65,138002.89,Y,2018-2019,KIPP DC - WILL Academy PCS,129,KIPP DC - WILL Academy PCS,121,121,5th-8th,38.90988639,-77.01811734,DGS_0778.0,Cluster 7,Ward 6,20001
138,Latin American Montessori Bilingual PCS [Walter Reed],1400 MAIN DRIVE NW,PK3-5th,Diane  Cottman,202-829-2600,,0,0,chrt_148,https://www.lambpcs.org/,316323,397036.3,145001.68,N,2018-2019,Latin American Montessori Bilingual [Walter Reed],130,Latin American Montessori Bilingual [Walter Reed],193,193,PK3-5th,38.97292958,-77.03420107,PCSB_132BLD,Cluster 17,Ward 4,20012
139,Latin American Montessori Bilingual PCS [Missouri Avenue],1375 MISSOURI AVENUE NW,PK3-5th,Diane  Cottman,202-726-6200,,0,0,chrt_66,https://www.lambpcs.org/,284010,397192.03,143806.16,N,2018-2019,Latin American Montessori Bilingual PCS [Missouri Avenue],130,Latin American Montessori Bilingual PCS [Missouri Avenue],193,193,PK3-5th,38.96216089,-77.03239905,DGS_0800.0,Cluster 17,Ward 4,20011
140,Friendship PCS - Ideal Elementary,6130 NORTH CAPITOL STREET NW,PK3-3rd,"George H. Rutherford II, Ph.D.",202- 729-6660,,0,0,chrt_121,http://www.iapcs.com/,285311,399139.13,144111.98,Y,2018-2019,Friendship PCS - Ideal Elementary,127,Friendship PCS - Ideal Elementary,134,134,PK3-3rd,38.96491986,-77.00993332,PCSB_60BLD,Cluster 19,Ward 4,20011
