X,Y,OBJECTID,NAME,ADDRESS,FACUSE,LEVEL_,STATUS,PHONE,SSL,GIS_ID,WEB_URL,MAR_ID,BLDG_NUM,SCH_PROG,CAPITALGAINS,CAPACITY,YEAR_BUILT,SQUARE_FOOTAGE,POPULATION_PLAN,XCOORD,YCOORD,ZIPCODE,LONGITUDE,LATITUDE,SCHOOL_YEA,LEA_NAME,LEA_ID,SCHOOL_NAM,SCHOOL_ID,GRADES,PK3,PK4,UN_CE,TOTAL_STUD,FACILITY_ID
-77.057205669827766,38.92360328286631,1,Oyster-Adams Bilingual School (Oyster),2801 CALVERT STREET NW,Elementary School,ES,Active,202-671-6130, ,dcps_292,http://oysteradamsbilingual.org/,275944,292,292,N,,,,,395039.6,139526.15,20008,-77.05720337,38.92359583,2018-2019,District of Columbia Public Schools,1,Oyster-Adams Bilingual School,292,PK4-3rd,6,34,,674,DGS_0446.0
-77.052323291221072,38.907476955478089,2,School Without Walls @ Francis-Stevens,2425 N STREET NW,Education Campus,EC,Active,202-724-4841, ,dcps_409,http://www.swwfs.org/,294544,409,409,N,520,1927,95100,450,395461.95,137735.74,20037,-77.052321,38.9074695,2018-2019,District of Columbia Public Schools,1,School Without Walls @ Francis-Stevens,409,PK3-8th,38,45,,471,DGS_0420.0
-76.999860264103489,38.892903777305996,3,Peabody Elementary School,425 C STREET NE,Elementary School,ES,Active,202-698-3277, ,dcps_301,http://profiles.dcps.dc.gov/Peabody+Elementary+School+(Capitol+Hill+Cluster),288145,301,301,N,,,,,400012.32,136116.7,20002,-76.99985799,38.89289632,2018-2019,District of Columbia Public Schools,1,Peabody Elementary School (Capitol Hill Cluster),301,PK3-KG,61,80,,231,DGS_0595.0
-77.004124719044995,38.915227575952983,4,McKinley Technology High School,151 T STREET NE,High School/Specialized,HS,Active,202-281-3950, ,dcps_458,http://mckinleytech.org/,296345,458,458,N,,,,,399642.48,138594.83,20002,-77.00412244,38.91522012,2018-2019,District of Columbia Public Schools,1,McKinley Middle School,458,6th-8th,,,,213,DGS_0283.0
-76.983079524742905,38.870091507624821,5,Anacostia High School,1601 16TH STREET SE,High School,HS,Active,202-698-2155, ,dcps_450,http://profiles.dcps.dc.gov/anacostia,155922,450,450,N,1040,1935,247900,1100,401468.56,133584.5,20020,-76.98307725,38.87008406,2018-2019,District of Columbia Public Schools,1,Anacostia High School,450,9th-12th,,,3,449,DGS_0324.0
-76.93245732412214,38.893322824121874,6,Kelly Miller Middle School,301 49TH STREET NE,Middle School,MS,Active,202-388-6870, ,dcps_421,http://kellymillerms.org/,294476,421,421,Y,,,,,405859.65,136165.39,20019,-76.93245515,38.89331541,2018-2019,District of Columbia Public Schools,1,Kelly Miller Middle School,421,6th-8th,,,,449,DGS_0462.0
-77.021187952964567,38.934421555700396,7,Bruce-Monroe Elementary School @ Park View,3560 WARDER STREET NW,Elementary School,ES,Active,202-576-6222, ,dcps_296,http://www.bmpv.org/,294583,296,296,N,,1916,82200,,398163.16,140725.73,20010,-77.02118567,38.9344141,2018-2019,District of Columbia Public Schools,1,Bruce-Monroe Elementary School @ Park View,296,PK3-5th,42,57,,473,DGS_0533.0
-76.984974811355343,38.885178929005939,8,Payne Elementary School,1445 C STREET SE,Elementary School,ES,Active,202-698-3262, ,dcps_295,http://paynedc.org/,289721,295,295,N,438,1953,,,401302.84,135259.2,20003,-76.984984,38.885171,2018-2019,District of Columbia Public Schools,1,Payne Elementary School,295,PK3-5th,28,36,,300,DGS_0466.0
-77.029445586558523,38.929206028481772,9,Tubman Elementary School,3101 13TH STREET NW,Elementary School,ES,Active,202-673-7285, ,dcps_328,http://profiles.dcps.dc.gov/tubman,294555,328,328,N,607,1970,66600,450,397447.02,140146.96,20010,-77.0294433,38.92919857,2018-2019,District of Columbia Public Schools,1,Tubman Elementary School,328,PK3-5th,39,34,,542,DGS_0471.0
-77.035860600194624,38.929552227178853,10,Columbia Heights Education Campus 6–8 (CHEC),3101 16TH STREET NW,Education Campus,MS,Active,202-939-7700, ,dcps_475,http://www.checdc.org,234375,442,475,N,,,,,396890.8,140185.59,20010,-77.03585831,38.92954477,2018-2019,District of Columbia Public Schools,1,Columbia Heights Education Campus,442,6th-12th,,,4,1336,DGS_0472.0
-76.998241264485415,38.842450628512061,11,King Elementary School,3200 6TH STREET SE,Elementary School,ES,Active,202-939-4900, ,dcps_344,http://profiles.dcps.dc.gov/King+Elementary+School,294557,344,344,N,525,1971,65500,400,400152.88,130516.03,20032,-76.99823899,38.84244319,2018-2019,District of Columbia Public Schools,1,King Elementary School,344,PK3-5th,26,51,,374,DGS_0481.0
-76.980312193229025,38.847642719674468,12,Turner Elementary School,3264 STANTON ROAD SE,Elementary School,ES,Active,202-645-3470, ,dcps_329,http://www.myschooldc.org/schools/profile/116/,294561,329,329,N,,1965,77700,,401708.96,131092.7,20032,-76.98031323,38.84763644,2018-2019,District of Columbia Public Schools,1,Turner Elementary School,329,PK3-5th,34,49,,484,DGS_0499.0
-76.983400841680279,38.841652835615569,13,Malcolm X Elementary School @ Green,1500 MISSISSIPPI AVENUE SE,Elementary School,ES,Active,202-645-3409, ,dcps_308,http://profiles.dcps.dc.gov/Malcolm+X+Elementary+School+%40+Green,294523,308,308,N,571,1973,110800,400,401441.25,130427.6,20032,-76.98339857,38.8416454,2018-2019,District of Columbia Public Schools,1,Malcolm X Elementary School @ Green,308,PK3-5th,26,26,,237,DGS_0313.0
-76.999884825648266,38.959979609350107,14,LaSalle-Backus Education Campus,501 RIGGS ROAD NE,Elementary School,ES,Active,202-671-6340, ,dcps_264,http://www.lasallebackus.com/,294489,264,264,N,406,1957,63000,425,400010.18,143562.69,20011,-76.99988254,38.95997214,2018-2019,District of Columbia Public Schools,1,LaSalle-Backus Education Campus,264,PK3-8th,19,29,,369,DGS_0661.0
-77.019580535861934,38.967292012770478,15,Coolidge High School,6315 5TH STREET NW,High School,HS,Active,202-671-6080, ,dcps_455,http://www.coolidgeshs.org/,294615,455,455,N,1240,1940,271300,1100,398303.3,144374.62,20012,-77.01957835,38.96728457,2018-2019,District of Columbia Public Schools,1,Coolidge High School,455,9th-12th,,,7,346,DGS_0710.0
-77.028432319433065,38.903503791198538,16,Thomson Elementary School,1200 L STREET NW,Elementary School,ES,Active,202-898-4660, ,dcps_326,http://www.thomsondcps.org/,240922,326,326,N,,,,,397533.99,137293.77,20005,-77.02843003,38.90349634,2018-2019,District of Columbia Public Schools,1,Thomson Elementary School,326,PK3-5th,35,30,,314,DGS_0241.0
-76.989000853111179,38.892294663680516,17,Maury Elementary School,1250 CONSTITUTION AVENUE NE,Elementary School,ES,Active,202-698-3838, ,dcps_274,http://www.mauryelementary.com,294511,274,274,N,276,1886,46800,325,400954.41,136049.14,20002,-76.988999,38.892287,2018-2019,District of Columbia Public Schools,1,Maury Elementary School,274,PK3-5th,39,47,,387,DGS_0258.0
-77.028473081518129,38.922179988338712,18,Cardozo Education Campus,1200 CLIFTON STREET NW,High School,HS,Active,202-673-7385, ,dcps_454,http://www.cardozohs.com/,294513,454,454,N,1565,1926,355400,1100,397531.11,139367.02,20009,-77.02847069,38.92217286,2018-2019,District of Columbia Public Schools,1,Cardozo Education Campus,454,6th-12th,,,20,797,DGS_0178.0
-77.030691137249434,38.960543191190851,19,Brightwood Education Campus,1300 NICHOLSON STREET NW,Elementary School,ES,Active,202-722-5670, ,dcps_213,http://www.brightwoodec.org/,294515,213,213,Y,,,,,397340.19,143625.7,20011,-77.03068885,38.96053573,2018-2019,District of Columbia Public Schools,1,Brightwood Education Campus,213,PK3-8th,39,49,,755,DGS_0270.0
-76.988588113322081,38.912147050913788,20,Youth Services Center,1000 MOUNT OLIVET ROAD NE,Youth Engagement,YE,Active,202-576-8388, ,dcps_948,http://profiles.dcps.dc.gov/Youth+Services+Center,290013,861, ,N,90,2004,,,400989.94,138252.92,20002,-76.98858584,38.91213959,2018-2019,District of Columbia Public Schools,1,Youth Services Center,861,Alternative,,,1,88,N/A
-77.071957521867645,38.940730106558846,21,Hearst Elementary School,3950 37TH STREET NW,Elementary School,ES,Active,202-282-0106, ,dcps_258,http://www.hearstes.org/,294586,258,258,N,181,1932,17400,325,393761.89,141428.28,20008,-77.07195522,38.94072265,2018-2019,District of Columbia Public Schools,1,Hearst Elementary School,258,PK4-5th,2,43,,312,DGS_0550.0
-76.999187119202119,38.82899335346773,22,Hendley Elementary School,425 CHESAPEAKE STREET SE,Elementary School,ES,Active,202-645-3450, ,dcps_249,http://profiles.dcps.dc.gov/Hendley+Elementary+School,24445,249,249,N,559,1959,73200,325,400070.78,129022.18,20032,-76.99918485,38.82898591,2018-2019,District of Columbia Public Schools,1,Hendley Elementary School,249,PK3-5th,28,37,,445,DGS_0596.0
-76.964358548069399,38.870099185754277,23,Randle Highlands Elementary School,1650 30TH STREET SE,Elementary School,ES,Active,202-729-3250, ,dcps_316,http://www.randlehighlandselementary.org/,156337,316,316,N,520,2003,,,403093.17,133585.82,20020,-76.96435628,38.87009174,2018-2019,District of Columbia Public Schools,1,Randle Highlands Elementary School,316,PK3-5th,34,43,,333,DGS_0803.0
-77.070309880077673,38.913453831780856,24,Duke Ellington School of the Arts,3500 R STREET NW,High School/Specialized,HS,Active,202-282-0123, ,dcps_471,http://www.ellingtonschool.org,242979,471,471,N,500,1898,167500,700,393902.4,138400.27,20007,-77.070308,38.913446,2018-2019,District of Columbia Public Schools,1,Duke Ellington School of the Arts,471,9th-12th,,,,537,DGS_0526.0
-77.00019727124436,38.83598797717476,25,Simon Elementary School,401 MISSISSIPPI AVENUE SE,Elementary School,ES,Active,202-645-3360, ,dcps_315,http://profiles.dcps.dc.gov/Simon+Elementary+School,294481,315,315,N,549,1950,66200,325,399983.07,129798.63,20032,-77.000195,38.83598054,2018-2019,District of Columbia Public Schools,1,Simon Elementary School,315,PK3-5th,19,28,,276,DGS_0568.0
-77.000006658035332,38.896305157337558,26,Stuart-Hobson Middle School,410 E STREET NE,Middle School,MS,Active,202-671-6010, ,dcps_428,http://www.capitolhillclusterschool.org/our-schools/stuart-hobson-middle-school,294483,428,428,Y,460,1927,105900,450,399999.62,136494.28,20002,-77.00000438,38.8962977,2018-2019,District of Columbia Public Schools,1,Stuart-Hobson Middle School (Capitol Hill Cluster),428,6th-8th,,,,431,DGS_0576.0
-76.971899900081596,38.901999477081503,27,"Phelps Architecture, Construction, and Engineering High School",704 26TH STREET NE,High School/Specialized,HS,Active,202-729-4360, ,dcps_478,http://phelpshsdc.org/,294495,478, ,N,,1912,205776,600,402437.64,137126.77,20002,-76.97189763,38.90199202,2018-2019,District of Columbia Public Schools,1,"Phelps Architecture, Construction and Engineering High School",478,9th-12th,,,,328,DGS_0725.0
-77.015586950059671,38.920437577231397,28,Washington Metropolitan High School,300 BRYANT STREET NW,Youth Engagement,YE,Active,202-671-1788, ,dcps_474,http://washingtonmetropolitanhs.org/,294475,474, ,N,,,,,398648.5130625,139173.29075,20001,-77.01558101,38.92043047,2018-2019,District of Columbia Public Schools,1,CHOICE Academy @ Wash Met,474,Alternative,,,,5,DGS_0789.0
-77.000977537737384,38.839390106537408,29,Ballou High School,3401 4TH STREET SE,High School,HS,Active,202-645-3400, ,dcps_452,http://www.balloudc.org/,294567,452,452,N,1565,1960,271300,1200,399915.33,130176.29,20032,-77.00097526,38.83938266,2018-2019,District of Columbia Public Schools,1,Ballou High School,452,9th-12th,,,17,930,DGS_0519.0
-76.982945927511523,38.856664973144298,30,Moten Elementary School,1565 MORRIS ROAD SE,Elementary School,ES,Active,202-698-1111, ,dcps_920,http://www.myschooldc.org/schools/profile/75/,294524,285,285A,N,,1976,144900,,401480.43,132093.89,20020,-76.98294368,38.856656,2018-2019,District of Columbia Public Schools,1,Moten Elementary School,285,PK3-5th,37,45,,405,DGS_0323.0
-77.000977537737384,38.839390106537408,31,Ballou STAY High School,3401 4TH STREET SE,Youth Engagement,STAY,Active,202-645-3390, ,dcps_914,http://www.balloustay.com/,294567,462,452A,N,,,,,399915.33,130176.29,20032,-77.00097526,38.83938266,2018-2019,District of Columbia Public Schools,1,Ballou High School,462,Adult,,,17,930,DGS_0519.0
-77.025073864781675,38.953976155312311,32,Truesdell Education Campus,800 INGRAHAM STREET NW,Elementary School,ES,Active,202-576-6202, ,dcps_327,http://profiles.dcps.dc.gov/Truesdell+Education+Campus,294497,327,327,N,471,1908,69600,450,397826.84,142896.55,20011,-77.02507158,38.95396869,2018-2019,District of Columbia Public Schools,1,Truesdell Education Campus,327,PK3-8th,46,59,,679,DGS_0738.0
-77.012693758442566,38.907634008020651,33,Dunbar High School,101 N ST NW,High School,HS,Active,202-698-3762, ,dcps_467,http://www.dunbarhsdc.org/,309947,467,940,N,1095,1977,343400,1600,398899.21,137751.95,20001,-77.012691,38.907627,2018-2019,District of Columbia Public Schools,1,Dunbar High School,467,9th-12th,,,2,584,DGS_0272.0
-76.993185299861622,38.897572453693421,34,School-Within-School @ Goding,920 F STREET NE,Elementary School/Specialized,ES,Active,202-673-8275,,dcps_201,http://www.schoolwithinschool.org,289072,175,,N,,,,,400591.35,136634.98,20002,-76.99318304,38.89756498,2018-2019,District of Columbia Public Schools,1,School-Within-School @ Goding,175,PK3-5th,,,,,DGS_0762.0
-77.022797217267311,38.975050343017678,35,Takoma Education Campus,7010 PINEY BRANCH ROAD NW,Elementary School,ES,Active,202-671-6050, ,dcps_3241,http://www.takomaec.us/,250934,324,3241,Y,467,1976,119000,450,398024.76,145235.93,20012,-77.02279493,38.97504287,2018-2019,District of Columbia Public Schools,1,Takoma Education Campus,324,PK3-8th,31,44,,468,DGS_0723.0
-77.00256497752423,38.89853776217727,36,Capitol Hill Montessori @ Logan,215 G STREET NE,Elementary School/Specialized,ES,Active,202-698-4467, ,dcps_960,http://capitolhillmontessorischool.org/,286687,360,0,N,,,,,399777.37,136742.12,20002,-77.00256647,38.89853031,2018-2019,District of Columbia Public Schools,1,Capitol Hill Montessori School @ Logan,360,PK3-8th,57,60,,361,DGS_0457.0
-77.005892675299989,38.915170351258638,37,Langley Elementary School,101 T STREET NE,Elementary School,ES,Active,202-576-6034, ,dcps_965,http://www.langleyelementary.org/,285757,370,0,N,,,,,399489.48,138589.14,20002,-77.00588662,38.91516879,2018-2019,District of Columbia Public Schools,1,Langley Elementary School,370,PK3-5th,23,38,,284,DGS_0210.0
-77.022912944048002,38.879878381786412,38,Jefferson Middle School Academy,801 7TH STREET SW,Middle School,MS,Active,202-729-3270, ,dcps_415,http://www.jeffersontrojans.org/,276812,433,415,Y,900,1940,109000,450,398012.08,134671.03,20024,-77.02291066,38.87987093,2018-2019,District of Columbia Public Schools,1,AppleTree Early Learning Center PCS - Southwest,433,PK3-PK4,,,,,DGS_0739.0
-77.004884473344518,38.915217889715045,39,McKinley Middle School,151 T STREET NE,Middle School,MS,Active,202-281-3950, ,dcps_970,http://profiles.dcps.dc.gov/McKinley+Middle+School,296345,435,458,N,,,,,399642.48,138594.83,20002,-77.00412244,38.91522012,2018-2019,District of Columbia Public Schools,1,McKinley Middle School,435,6th-8th,,,,213,DGS_0283.0
-77.080997131401929,38.947557880899566,40,Janney Elementary School,4130 ALBEMARLE STREET NW,Elementary School,ES,Active,202-282-0110, ,dcps_254,http://www.janneyschool.org/,285713,254,254,N,364,1925,98200,550,392978.88,142186.88,20016,-77.08099483,38.94755042,2018-2019,District of Columbia Public Schools,1,Janney Elementary School,254,PK4-5th,,79,,722,DGS_0580.0
-76.989999042962481,38.883474459101706,41,Watkins Elementary School,420 12TH STREET SE,Elementary School,ES,Active,202-698-3355, ,dcps_333,http://www.capitolhillclusterschool.org/our-schools/watkins-elementary,294486,333,333,N,578,1962,69300,550,400867.92,135070.02,20003,-76.98999677,38.88346701,2018-2019,District of Columbia Public Schools,1,Watkins Elementary School (Capitol Hill Cluster),333,1st-5th,,,,436,DGS_0586.0
-77.012894190513833,38.828204222584731,42,Leckie Elementary School,4201 MARTIN LUTHER KING JR AVENUE SW,Elementary School,ES,Active,202-645-3330, ,dcps_266,http://www.leckielionsdc.org/,294592,266,266,N,471,1970,65000,400,398880.58,128934.66,20032,-77.01289191,38.82819678,2018-2019,District of Columbia Public Schools,1,Leckie Education Campus,266,PK3-8th,45,57,,553,DGS_0593.0
-76.968492492269874,38.85927955495054,43,Stanton Elementary School,2701 NAYLOR ROAD SE,Elementary School,ES,Active,202-671-6180, ,dcps_319,http://profiles.dcps.dc.gov/Stanton+Elementary+School,294547,319,319,N,547,1944,83800,400,402734.84,132384.63,20020,-76.96849023,38.85927211,2018-2019,District of Columbia Public Schools,1,Stanton Elementary School,319,PK3-5th,30,47,,520,DGS_0443.0
-76.996494770417698,38.898751596381729,44,Ludlow-Taylor Elementary School,659 G STREET NE,Elementary School,ES,Active,202-698-3244, ,dcps_271,http://www.ludlowtaylor.org,294494,271,271,N,,,,,400304.26,136765.86,20002,-76.99649249,38.89874414,2018-2019,District of Columbia Public Schools,1,Ludlow-Taylor Elementary School,271,PK3-5th,43,57,,373,DGS_0721.0
-76.996591298601587,38.902765453788533,45,J.O. Wilson Elementary School,660 K STREET NE,Elementary School,ES,Active,202-698-4733, ,dcps_339,http://profiles.dcps.dc.gov/J.O.+Wilson+Elementary+School,288841,339,339,N,412,1961,98900,400,400295.87,137211.43,20002,-76.99658902,38.902758,2018-2019,District of Columbia Public Schools,1,J.O. Wilson Elementary School,339,PK3-5th,56,61,,495,DGS_0695.0
-77.033997521628919,38.984610753085931,46,Shepherd Elementary School,7800 14TH STREET NW,Elementary School,ES,Active,202-576-6140, ,dcps_313,http://www.shepherd-elementary.org,256319,313,313,N,332,1932,79700,400,397054.62,146297.53,20012,-77.03399523,38.98460328,2018-2019,District of Columbia Public Schools,1,Shepherd Elementary School,313,PK3-5th,32,36,,361,DGS_0296.0
-77.032255346554734,38.951374877377077,47,West Education Campus,1338 FARRAGUT STREET NW,Elementary School,ES,Active,202-576-6226, ,dcps_336,http://www.westschool.org/,294517,336,336,N,281,1978,69600,450,397204.26,142607.98,20011,-77.03225306,38.95136741,2018-2019,District of Columbia Public Schools,1,West Education Campus,336,PK3-8th,23,35,,315,DGS_0179.0
-77.031229711553777,38.941541804352106,48,Powell Elementary School,1350 UPSHUR STREET NW,Elementary School,ES,Active,202-671-6270, ,dcps_300,http://www.powellbilingualelementary.com/,255302,300,300,N,304,1925,38500,325,397292.79,141516.39,20011,-77.03122742,38.94153434,2018-2019,District of Columbia Public Schools,1,Powell Elementary School,300,PK3-5th,50,49,,534,DGS_0287.0
-76.979686564178522,38.890410115127168,49,Eastern High School,1700 EAST CAPITOL STREET NE,High School,HS,Active,202-698-4500, ,dcps_457,http://easternhighschooldc.org/intro/,289529,457,457,N,1425,1923,288800,6,401762.5,135840.08,20003,-76.97968429,38.89040266,2018-2019,District of Columbia Public Schools,1,Eastern High School,457,9th-12th,,,28,818,DGS_0181.0
-76.980173574509124,38.871293852900436,50,Kramer Middle School,1700 Q STREET SE,Middle School,MS,Active,202-939-3150, ,dcps_417,http://www.myschooldc.org/schools/profile/56/,289467,417,417,N,655,1943,154000,550,401720.71,133718.02,20020,-76.9801713,38.8712864,2018-2019,District of Columbia Public Schools,1,Kramer Middle School,417,6th-8th,,,,193,DGS_0332.0
-77.039664435576057,38.912398603595996,51,Ross Elementary School,1730 R STREET NW,Elementary School,ES,Active,202-673-7200, ,dcps_305,http://www.rosselementary.org/,241714,305,305,N,,,,,396560.15,138281.53,20009,-77.03966214,38.91239115,2018-2019,District of Columbia Public Schools,1,Ross Elementary School,305,PK3-5th,14,20,,171,DGS_0340.0
-76.993606534879916,38.862859433361301,52,Savoy Elementary School,2400 SHANNON PLACE SE,Elementary School,ES,Active,202-939-2000, ,dcps_307,http://profiles.dcps.dc.gov/Savoy+Elementary+School,278153,307,307,N,479,1968,64800,450,400555.08,132781.57,20020,-76.99360426,38.86285199,2018-2019,District of Columbia Public Schools,1,Savoy Elementary School,307,PK3-5th,20,34,,315,DGS_0419.0
-77.068616196361319,38.915516487180454,53,Hardy Middle School,1819 35TH STREET NW,Middle School,MS,Active,202-729-4350, ,dcps_246,http://www.hardyms.org,274432,246,246,Y,,,,,394049.46,138629.13,20007,-77.0686139,38.91550903,2018-2019,District of Columbia Public Schools,1,Hardy Middle School,246,6th-8th,,,,374,DGS_0355.0
-76.983705950967391,38.851344350560083,54,Johnson Middle School,1400 BRUCE PLACE SE,Middle School,MS,Active,202-939-3140, ,dcps_416,http://profiles.dcps.dc.gov/Johnson+Middle+School,294520,416,416,N,,1969,277000,,401414.57,131503.42,20020,-76.98370368,38.85133691,2018-2019,District of Columbia Public Schools,1,Johnson Middle School,416,6th-8th,,,,252,DGS_0293.0
-77.024884752705873,38.910626151178647,55,Seaton Elementary School,1503 10TH STREET NW,Elementary School,ES,Active,202-673-7215, ,dcps_309,http://seatondc.org/,279203,309,309,N,428,1969,65000,325,397841.92,138084.32,20001,-77.02488247,38.9106187,2018-2019,District of Columbia Public Schools,1,Seaton Elementary School,309,PK3-5th,42,55,,341,DGS_0177.0
-77.029202176099957,38.943040019772205,56,Roosevelt STAY High School ,4301 13TH STREET NW,Youth Engagement,STAY,Active,202-576-8399, ,dcps_913,http://www.rooseveltstay.org/,252605,456,459A,N,,,,,397468.88,141682.3,20011,-77.029197,38.943029,2018-2019,District of Columbia Public Schools,1,Roosevelt High School,456,Adult,,,7,668,DGS_0610.0
-76.952113174021633,38.901286426905436,57,Thomas Elementary School,650 ANACOSTIA AVENUE NE,Elementary School,ES,Active,202-724-4593, ,dcps_325,http://www.nevalthomas.org/,294493,325,325,N,636,1946,87600,325,404154.01,137048.33,20019,-76.95211091,38.90127897,2018-2019,District of Columbia Public Schools,1,Thomas Elementary School,325,PK3-5th,39,40,,409,DGS_0719.0
-76.930798760696987,38.885961872245439,58,Nalle Elementary School,219 50TH STREET SE,Elementary School,ES,Active,202-671-6280, ,dcps_288,http://profiles.dcps.dc.gov/Nalle+Elementary+School,294474,288,288,N,460,1950,83900,400,406004.16,135348.37,20019,-76.93079651,38.88595442,2018-2019,District of Columbia Public Schools,1,Nalle Elementary School,288,PK3-5th,49,55,,391,DGS_0394.0
-77.040817540443982,38.919114470016773,59,Marie Reed Elementary School,2201 18TH STREET NW,Elementary School,ES,Active,202-673-7308, ,dcps_284,http://mariereedes.org/,310614,284,284,N,,,,,396459.87,139027.66,20009,-77.040822,38.919112,2018-2019,District of Columbia Public Schools,1,Marie Reed Elementary School,284,PK3-5th,46,54,,398,DGS_0396.2
