,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T01,000000325652,000000099598,000000762651,000001022066,000001982208,000000000000,000000000000,000000000000,000001969718,000000000360,000000201834,000000000000,000000000000,000000061806,000000007008,000000000000,000000079475,000000558377,000000052686,000000038636,000000750927,000000004795,000001879024,000000815756,000000024122,000000029896,000000262313,000000000148,000000235143,000000400369,000000004620,000000069217,000000000000,000000000000,000000002808,000000000000,000000000000,000000019893,000000055537,000000002331,000000022699,000000000000,000000000000,000000000000,000000000000,000000943408,000000033188,000001939883,000000006149,000000148600,000000331899
T09,000002331676,000000000000,000006792635,000002837788,000033915885,000002416731,000003838385,000000000000,000001138462,000020785507,000005277211,000002944487,000001324182,000008159003,000006805069,000002827371,000002897033,000003021794,000002825752,000001071886,000004114296,000005184312,000008465895,000005711442,000003191683,000003154531,000000000000,000001669380,000003637356,000000000000,000008454788,000002004258,000012117579,000005592560,000001268695,000008351551,000002518598,000000000000,000009243355,000000881458,000003199752,000000853570,000005992162,000030908596,000001884170,000000347273,000003708389,000011122868,000001255377,000004410130,000000702623
T10,000000174395,000000039194,000000068684,000000050656,000000357000,000000039217,000000060416,000000018412,000000005945,000000486278,000000180786,000000048962,000000008588,000000279928,000000045248,000000013865,000000119462,000000121753,000000056879,000000017518,000000030867,000000077357,000000138900,000000073053,000000041787,000000036119,000000031743,000000028936,000000040903,000000012689,000000136066,000000046913,000000247303,000000332656,000000009154,000000098279,000000111001,000000016294,000000336400,000000012717,000000156759,000000016027,000000140068,000000987726,000000048228,000000023159,000000204049,000000364795,000000017690,000000057290,000000001802
T11,000000000093,000000008427,000000000531,000000036109,000000000000,000000104290,000000382390,000000000000,000000000000,000000165804,000000000000,000000000000,000000000000,000000598897,000000754248,000000270659,000000000391,000000000184,000000675249,000000051162,000000025281,000000002670,000000110668,000000039274,000000139630,000000379828,000000057295,000000004229,000000921872,000000000454,000000214859,000000067405,000000001030,000000014703,000000005521,000000225439,000000020767,000000000000,000001447200,000000000000,000000039172,000000009325,000000000000,000000029386,000000000000,000000000000,000000000081,000000000000,000000070259,000000000243,000000000000
T12,000000297958,000000060236,000000424369,000000162962,000002242379,000000211320,000000232492,000000087512,000000079511,000000657710,000000329237,000000136542,000000072251,000000359578,000000212272,000000104885,000000174531,000000139471,000000399551,000000099693,000000429410,000000403757,000000301883,000000370829,000000212493,000000274089,000000074667,000000069248,000000249390,000000083547,000000568484,000000137050,000001435166,000000542551,000000047867,000000504075,000000268121,000000101569,000000790975,000000094915,000000150213,000000071989,000000686280,000001717242,000000108872,000000057517,000000392397,000000436118,000000151136,000000176710,000000018419
T13,000000530244,000000041608,000000781426,000000455914,000005492850,000000626619,000000497013,000000112616,000000022391,000002332191,000001000626,000000092516,000000244738,000001259834,000000803376,000000440365,000000415352,000000838344,000000583025,000000237675,000000740556,000000651375,000000956173,000000888010,000000412966,000000701078,000000216155,000000297483,000000297387,000000143132,000000524557,000000231026,000001634932,000001893576,000000211700,000001704594,000000434719,000000498778,000002046738,000000094191,000000520501,000000142364,000000834999,000003228459,000000373242,000000106840,000000910038,000001194910,000000408914,000000968338,000000070986
T14,000000001557,000000000000,000000000234,000000003113,000000014088,000000000610,000000006876,000000000079,000000000000,000000009150,000000000000,000000000000,000000001195,000000005881,000000002543,000000003996,000000000000,000000004843,000000004660,000000002068,000000001203,000000001830,000000004599,000000000573,000000000000,000000000000,000000000011,000000000237,000000000000,000000000677,000000000000,000000000943,000000022270,000000000000,000000000742,000000006246,000000001191,000000002138,000000013149,000000001184,000000000000,000000000534,000000000000,000000007166,000000000000,000000000000,000000000000,000000001594,000000002312,000000000000,000000000145
T15,000000737619,000000004295,000000021013,000000000000,000000676997,000000011528,000000340920,000000058866,000000199213,000003045930,000000000000,000000163930,000000001920,000001638578,000000238777,000000000000,000000000321,000000067197,000000009680,000000029599,000000123431,000000023738,000000035653,000000000050,000000006191,000000000000,000000047861,000000053887,000000021993,000000073141,000000959009,000000030650,000001027932,000000396055,000000039807,000001111197,000000041207,000000084131,000001312254,000000101502,000000026831,000000003558,000000009461,000000753864,000000024484,000000017272,000000128780,000000462736,000000160762,000000368708,000000003555
T16,000000120110,000000069175,000000315428,000000237328,000000868703,000000197026,000000399885,000000115191,000000033991,000001227200,000000211618,000000112104,000000049324,000000857110,000000461637,000000226300,000000098985,000000260358,000000161554,000000137952,000000415922,000000558297,000000958961,000000380304,000000150277,000000103734,000000087935,000000066049,000000104766,000000209555,000000753562,000000083034,000001543018,000000281097,000000028743,000000828703,000000283902,000000269344,000001074092,000000131974,000000027677,000000060969,000000274471,000001533170,000000120472,000000074270,000000187943,000000465148,000000107022,000000632174,000000026505
T19,000000514866,000000026651,000000108714,000000235333,000004506678,000000681794,000000878785,000000094526,000000084480,000000660671,000000408944,000000433679,000000070102,000001560932,000001022576,000000028849,000000036841,000000715597,000000258292,000000132320,000001466082,000000551990,000001325337,000002467948,000000416267,000000141664,000000043294,000000008539,000000194696,000000425102,000000586808,000000131258,000005188261,000000661707,000000151208,000000717086,000000168945,000000397012,000000842137,000000198482,000000356077,000000069926,000000552670,000004488347,000000180448,000000356895,000000660989,000000669882,000000405539,000000474818,000000002352
T20,000000004185,000000001788,000000005164,000000004424,000000053008,000000006734,000000008803,000000001943,000000007021,000000008332,000000003512,000000000000,000000001727,000000012289,000000012940,000000014564,000000003282,000000006281,000000000000,000000005377,000000001266,000000003067,000000016118,000000001895,000000002927,000000005035,000000002079,000000001068,000000000000,000000004321,000000003960,000000000000,000000061225,000000015915,000000000347,000000040844,000000001224,000000004421,000000016740,000000000073,000000012394,000000000835,000000001320,000000062458,000000001936,000000000376,000000012284,000000257601,000000001392,000000001356,000000000000
T21,000000000000,000000000001,000000000000,000000000458,000000015134,000000000629,000000000209,000000000328,000000000000,000000016000,000000000797,000000000000,000000000294,000000017658,000000008301,000000023997,000000000015,000000000264,000000000000,000000000700,000000000030,000000000231,000000000000,000000001427,000000017410,000000001762,000000004489,000000000610,000000092967,000000000233,000000058402,000000000362,000000000059,000000000214,000000000822,000000118919,000000152863,000000000825,000000029968,000000000169,000000001718,000000007488,000000000314,000000018683,000000000000,000000000038,000000000102,000000006045,000000003483,000000000494,000000000000
T22,000000136786,000000000000,000000010357,000000027376,000000059998,000000013175,000000027828,000000812596,000000037887,000000284117,000000039243,000000001606,000000002077,000000345961,000000007421,000000043938,-00000004311,000000098774,000000105789,000000008980,000000092984,000000025624,000000022736,000000007307,000000149321,000000054666,000000003230,000000003055,000000065070,000000038128,000000253561,000000022219,000000060319,000000583877,000000000000,000001649423,000000044580,000000029474,000000488427,000000004719,000000074208,000000004504,000000758051,000000116920,000000000490,000000001945,000000057191,000000030836,000000004858,000000019649,000000012496
T23,000000021470,000000025569,000000029246,000000023760,000000102073,000000071096,000000005713,000000002728,000000000081,000000015392,000000023502,000000000488,000000032868,000000038472,000000018493,000000028719,000000089900,000000026535,000000028488,000000016148,000000015770,000000005302,000000049326,000000057363,000000017341,000000031614,000000046590,000000013681,000000010121,000000010036,000000013150,000000018725,000000056643,000000016619,000000014087,000000038069,000000019683,000000050246,000000072852,000000001668,000000017346,000000028140,000000031380,000000103912,000000028726,000000007253,000000029503,000000043289,000000011943,000000066863,000000034764
T24,000000204960,000000058822,000000193816,000000149982,000003579253,000000462676,000000209745,000000051237,000000036219,000001227158,000000457490,000000175341,000000133204,000001584922,000000210622,000000540619,000000205760,000000184760,000000105963,000000107906,000000450618,000000381189,000000943486,000000624736,000000151627,000000266955,000000149104,000000095343,000000162250,000000092324,000000615425,000000175002,000001377900,000000581590,000000113651,000000714947,000000649232,000000512729,000000837215,000000066202,000000210000,000000066660,000000270469,000002076465,000000164710,000000069563,000000452626,000000509854,000000002456,000000452850,000000080385
T25,000000021031,000000000000,000000029620,000000017846,000000311239,000000030945,000000042607,000000005712,000000006040,000000203842,000000072798,000000000389,000000011403,000000103140,000000238969,000000014237,000000021256,000000016050,000000012178,000000010728,000000034569,000000107398,000000056672,000000043718,000000037793,000000017039,000000009067,000000006200,000000021729,000000012603,000000053515,000000003614,000000145008,000000112726,000000005135,000000082767,000000015517,000000039447,000000061907,000000004991,000000009449,000000003739,000000046945,000000133820,000000015244,000000007410,000000062311,000000091793,000000105877,000000040610,000000002298
T27,000000014086,000000000514,000000015747,000000009917,000000416056,000000012140,000000000686,000000000000,000000000000,000000025096,000000000000,000000020241,000000051453,000000018262,000000000000,000000012033,000000005685,000000000000,000000007066,000000000000,000000000000,000000000000,000000030696,000000000128,000000014717,000000019998,000000000006,000000000000,000000000000,000000009606,000000006797,000000000050,000000022842,000000015952,000000000003,000000031094,000000000005,000000013063,000000072092,000000000000,000000000000,000000000000,000000005995,000000021659,000000000000,000000000000,000000000000,000000018762,000000000304,000000067340,000000000000
T28,000000087908,000000040522,000000126846,000000121868,000004202960,000000039378,000000155306,000000379809,000000032602,000000212184,000000133904,000000038607,000000069984,000000430765,000000031739,000000112333,000000055457,000000124506,000000106332,000000102584,000000208228,000000265590,000000160987,000000371288,000000096020,000000131276,000000096285,000000010805,000000230099,000000084265,000000509584,000000037197,000000226912,000000247556,000000073437,000000753465,000000115344,000000266125,000000987918,000000045198,000000098299,000000126781,000000297116,000000639713,000000047700,000000018144,000000185964,000000284387,000000011887,000000372894,000000025298
T29,000000000004,000000008504,000000001973,000000001649,000000004027,000000000934,000000002015,000000004924,000000031711,000000001844,000000036620,000000011902,000000003617,000000031639,000000077605,000000007697,000000001589,000000005556,000000004114,000000008495,000000001827,000000157521,000000184586,000000080280,000000042854,000000021128,000000010008,000000000000,000000004565,000000000925,000000002038,000000000000,000000001459,000000010114,000000000000,000000016092,000000011982,000000006793,000000018083,000000006696,000000016429,000000018983,000000008493,000000173673,000000000929,000000001780,000000006591,000000166383,000000007067,000000004767,000000000000
T40,000003202520,000000000000,000003397707,000002649577,000066809000,000005528485,000007811949,000001130501,000001640899,000000000000,000008772227,000001735718,000001292562,000016538662,000004972810,000003436758,000002956588,000003722964,000002739983,000001531504,000007693324,000012876192,000008126352,000009329085,000001755424,000005380651,000001045500,000002101694,000000000000,000000099027,000012108615,000001222245,000040230379,000011068166,000000641766,000009869545,000002916615,000006260161,000010777334,000001088992,000003357518,000000000000,000000262842,000000000000,000002852088,000000663027,000010900860,000000000000,000001795947,000007227690,000000000000
T41,000000382202,000000630941,000000662026,000000402874,000007462000,000000652180,000000568632,000000309644,000000453280,000002071710,000000797255,000000123661,000000200340,000004462627,000000781585,000000428554,000000384553,000000646875,000000252430,000000171987,000000952092,000001888449,000000895183,000001223309,000000415980,000000377258,000000170999,000000275563,000000000000,000000553197,000002282055,000000266466,000004920605,000001285907,000000225719,000000262226,000000585146,000000459744,000002208163,000000144310,000000386669,000000037172,000001256173,000000000000,000000330684,000000105635,000000772001,000000000000,000000242429,000000955752,000000000000
T50,000000000018,000000000000,000000000000,000000000092,000000000000,000000000014,000000421065,000000020161,000000039700,000000000290,-00000015352,000000014886,000000000015,000000309376,000000165478,000000086785,-00000000077,000000041326,000000000042,000000079083,000000234552,000000313395,000000000293,000000161278,000000000021,000000000175,000000000000,000000000000,000000000000,000000000000,000000623840,000000000000,000001014862,000000112364,000000000028,000000105203,000000000874,000000101831,000000812350,000000031156,000000000000,000000000000,000000114191,000000000000,000000000000,000000015387,-00000000269,000000104258,000000000002,000000000304,000000000000
T51,000000042155,000000000000,000000018902,000000030190,000000000000,000000000000,000000151624,000000138358,000000366160,000001948450,000000000209,000000056219,000000000000,000000054002,000000000000,000000015151,000000000000,000000003444,000000000000,000000022449,000000145753,000000219465,000000202323,000000196295,000000000000,000000010815,000000000000,000000008725,000000059261,000000099368,000000343186,000000000000,000000877859,000000050810,000000000000,000000000000,000000015006,000000003564,000000395176,000000018703,000000051744,000000000193,000000161183,000000000000,000000000000,000000028310,000000376892,000000577389,000000008776,000000048016,000000000000
T53,000000119424,000004016966,000000029829,000000080862,000000037732,000000147732,000000000030,000000000000,000000000000,000000047050,000000000000,000000000000,000000006224,000000000000,000000002421,000000000000,000000073806,000000269786,000000834116,000000000000,000000000000,000000000000,000000070236,000000050226,000000104692,000000000008,000000282356,000000004064,000000290448,000000000000,000000000000,000000843207,000000000000,000000001656,000002457530,000000012308,000000515981,000000023305,000000000000,000000000000,000000000000,000000010816,000000002502,000004799751,000000112050,000000000000,000000002117,000000038656,000000608371,000000006201,000000867933
T99,000000000000,000000000000,000000000000,000000024623,000000074978,000000000000,000000003059,000000001173,000000047452,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000189203,000000197503,000000000000,000000000000,000000001182,000000000075,000000003623,000000000000,000000386610,000000000000,000000000000,000000000000,000001453608,000000000000,000000000000,000000000000,000000000000,000000000000,000000025564,000000000000,000000000000,000000000000,000000020651,000000000000,000000000000,000000004681,000000102557,000000000000,000000000000,000000011895,000000004594
